question,para_question1,para_question2,answers
What facilities does NMAMIT provide for sports and recreation?,What sports facilities does NMAMIT have?,Which facilities does NMAMIT have for sports and recreation?,"NMAMIT provides sports facilities, recreational spaces, and organizes events to promote physical fitness and extracurricular activities among students.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
How does NMAMIT promote innovation among its students?,How does NMAMIT encourage students to innovate?,How does NMAMIT encourage creativity among its students?,"NMAMIT promotes innovation through hackathons, innovation labs, project competitions, and mentorship programs to nurture creativity and problem-solving skills.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
What role does NMAMIT play in sustainable development?,How important is NMAMIT to sustainable development?,What is the significance of NMAMIT in the realm of sustainable development?,"NMAMIT promotes sustainable practices through initiatives such as green campus initiatives, waste management programs, and awareness campaigns.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
How does NMAMIT ensure gender diversity on campus?,How does NMAMIT make sure there is gender diversity on campus?,What measures does NMAMIT take to ensure gender diversity on campus?,"NMAMIT encourages gender diversity through awareness programs, scholarships, and inclusive policies to create a supportive environment for all students.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
What support does NMAMIT provide for career development?,How does NMAMIT help career development?,Does NMAMIT provide career development support?,"NMAMIT offers career counseling, skill development programs, placement assistance, and industry interactions to enhance students' employability.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
How does NMAMIT engage with the local community?,What is NMAMITs approach to engaging with the local community?,In what ways does NMAMIT interact with its community?,"NMAMIT engages with the local community through outreach programs, social initiatives, and collaborative projects to address societal needs and contribute to development.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
What initiatives does NMAMIT take for student leadership development?,What does NMAMIT do to develop student leaders?,What steps does NMAMIT take to foster the development of student leaders?,"NMAMIT offers leadership training, student council activities, and opportunities for participation in clubs and organizations to foster leadership skills among students.For more information, visit https://nmamit.nitte.edu.in/about-nmamit-nitte.php"
"What is NMAM Institute of Technology's mission, vision and their core values?",What are the goals and objectives of NMAM Institute of Technology?,Which goals and objectives does NMAM Institute of Technology have?,"NMAM Institute of Technology aims to pursue excellence, empower people, and partner in community development and mission of NMAM Institute of Technology is to develop as a Center of Excellence by imparting quality education to generate competent, skilled, and humane manpower capable of facing emerging scientific, technological, managerial, and social challenges with credibility, integrity, ethics, and social concern.NMAM Institute of Technology values ethics, teamwork, honesty, loyalty, and both professional and personal integrity.For more information, visit https://nmamit.nitte.edu.in/vision-mission.php"
who is the founder of nitte?,Who founded NITTE?,Who established NITTE?,"LATE JUSTICE K. S HEGDE. For more information, visit https://nmamit.nitte.edu.in/founder.php"
who is the Principal of NMAMIT and what is his email address?,What is the name of the principal of NMAMIT and his email address?,What is the NMAMIT Principal's email address and who is he?,"Prof. Niranjan N Chiplunkar,his email is principal_nmamit@nitte.edu.in. For more information, visit https://nmamit.nitte.edu.in/principal.php"
who is the Vice principal & Dean of NMAMIT and what is his email address?,"What is the email address of the Vice Principal and Dean of NMAMIT, and who is he?",May I know the name and email address of the Vice Principal of NMAMIT?,"Dr. I. Ramesh Mithanthaya, his email is viceprincipal.nmamit@nitte.edu.in. For more information, visit https://nmamit.nitte.edu.in/vice-principal.php"
who is the Vice Principal & Controller of Examinations of NMAMIT?,What is the name of the NMAMIT Vice Principal and Exam Controller?,May I know the name of the Vice Principal and controller of examinations of NMAMIT?,"Dr. Shrinivasa Rao B.R.For more information, visit https://nmamit.nitte.edu.in/vice-principal.php"
