questions,para_question1,para_question2,Answers
Where do I get my Admit Card?,Where can I receive my admission card?,Where can I obtain my Admit Card?,e-Admit Card can be downloaded from your Test platform nucat.codetantra.com immediately after slot booking. For more information please visit the following link https://nucat.nitte.edu.in/
Can I change the timing of Test slot booked?,Is it possible to change the timing of the test slot booked?,Can I alter the schedule of the Test slot I've booked?,No. Slot once booked cannot be changed. For more information please visit the following link https://nucat.nitte.edu.in/
Can I take the Test without booking the slot?,Can I take the test without booking the test slot?,Can I participate in the Test without reserving a slot?,A candidate cannot take the Test without a confirmed Test slot booking. For more information please visit the following link https://nucat.nitte.edu.in/
Can I use mobile phone instead of laptop for attending NUCAT?,Is it possible to attend NUCAT with a mobile phone instead of a laptop?,Can I use a mobile device instead of a laptop for the NUCAT?,"The Test must be taken through a laptop/desktop as primary device. In addition, either a Tablet or a Smart phone must be used as secondary device, as 3rd Eye. Both these devices must be connected to the internet throughout the exam. Kindly refer the NUCAT Information Bulletin for detailed information regarding technical requirement. For more information please visit the following link https://nucat.nitte.edu.in/"
Is it compulsory to use 3rd Eye?,Is it necessary to use the third eye?,Is it mandatory to use 3rd Eye for the Test?,"Yes. It is compulsory to use Mobile / Tablet connected with internet, as 3rd Eye. For more information please visit the following link https://nucat.nitte.edu.in/"
Should I sit in a closed room for Test?,Should I occupy a closed room for the purpose of the test?,Should I be in a secluded room during the Test?,Yes. Candidates should take the Test in a well illuminated closed room which is free from external noise or disturbances. For more information please visit the following link https://nucat.nitte.edu.in/
Can I write the Test in Windows 7?,Would it be possible for me to compose the Test in Windows 7?,Can I take the Test on a Windows 7 system?,Windows 10 or more is preferred. Please refer NUCAT Information Bulletin for detailed information regarding technical requirement. For more information please visit the following link https://nucat.nitte.edu.in/
When should I login to the Test platform for taking NUCAT Test?,When should I sign in to the NUCAT Test platform?,When should I log in to the Test platform for the NUCAT Test?,Candidates should login 30 minutes before the Test. For more information please visit the following link https://nucat.nitte.edu.in/
Is writing the Mock test mandatory?,Is it necessary to write the Mock test?,Is it necessary to take the Mock test?,"Yes. For aspirants attempting the Remotely Proctored Online Test, both Human Proctored and AI Proctored Mock Tests are mandatory. For those opting for the Center Based Online Test, the Mock Test is optional, but it is recommended for the familiarity with the test and campus. For more information please visit the following link https://nucat.nitte.edu.in/"
When can I take the AI-proctored Mock Test?,When can I take the AI-controlled mock test?,When will it be possible for me to take the AI-proctored Mock Test?,"Candidates will be provided two Mock Tests - Mock Test 1 which is Human proctored and Mock Test 2 which is Machine proctored, before the Actual Test, to acclimatise themselves with the Test Taking procedure. The dates and details of the Human proctored mock test will be communicated through the e-Admit Card based on the Test slots booked by the candidates. The AI proctored mock test can be taken any time starting 5 days before the human proctored mock test until one day before the Actual Test. For more information please visit the following link https://nucat.nitte.edu.in/"
Can I use rough sheet during the NUCAT Test?,May I utilize a rough sheet during the NUCAT Examination?,Can I use a scratch paper during the NUCAT Test?,Yes. You can use only one blank A4 sheet during the Test and the same should be shown to the proctor before taking the Test. For more information please visit the following link https://nucat.nitte.edu.in/
What should I carry for the Test?,What should I take to the Test?,What items should I bring for the Test?,"Irrespective of Online or Centre based online test, the candidates are informed to mandatorily carry any valid Government Id Proof and e-Admit Card. For more information please visit the following link https://nucat.nitte.edu.in/"
Can the Test be taken from my college Lab?,Would it be possible to take the test from my college lab?,Can the Test be conducted from my college Lab?,No. The Test cannot be taken from your college lab as it is not a Test Centre. For more information please visit the following link https://nucat.nitte.edu.in/
Can I take the Test from my parents work place/Cyber-Centre/ my balcony/living room?,Is it possible to take the test from my parents work place or my balcony or living room?,Would it be possible for me to take the test from my parents work place/Cyber-Centre/ balcony/living room?,No. The Test should be taken in a well illuminated closed room which is free from external noise or disturbances. For more information please visit the following link https://nucat.nitte.edu.in/
Where are the Test Centres located?,Where are the NUCAT exam centers located?,In which places are the testing facilities situated?,"The Test Centres are located at: 1. NMAM Institute of Technology, Nitte, SH1, Karkala, Karnataka 574110 2. Nitte Meenakshi Institute of Technology, 6429, NITTE Meenakshi College Rd, BSF Campus, Yelahanka, Bengaluru, Govindapura, Karnataka 560064 3. Nitte Institute of Professional Education, near Nitte Institute of Hospitality Services, Kodakal, Mangaluru, Karnataka 575007 4. KS Hegde Medical Academy, P.O. Nityanandanagar, Deralakatte, Mangaluru, Karnataka 575018 5. Nitte Institute of Communication, Paneer, Kotekar-Beeri Road, P.O Deralakatte, Kotekar, Karnataka 575018. For more information please visit the following link https://nucat.nitte.edu.in/"
How do I change the mode of NUCAT Test from Online to a Test Centre?,How do I change NUCAT Test mode from Online to Test Centre?,How can I switch the mode of NUCAT Test from Online to a Test Centre?,Candidates should send a request email to nucat@nitte.edu.in. Facility will be provided subject to availability. For more information please visit the following link https://nucat.nitte.edu.in/
What are the things I should bring to the Test Centre if I am appearing for the Test at the Centre?,What should I bring to the Test Centre if I am taking the test?,What are the essentials I should carry to the Test Centre if I'm appearing for the Test there?,"Candidates are informed to mandatorily carry original Aadhaar card / any valid Government Id Proof, printed copy of e-Admit Card and a pen to work out problems. For more information please visit the following link https://nucat.nitte.edu.in/"
Do I need a hard copy of the e-Admit card for Mock Test?,Do I require a copy of the e-Admit card for the mock test?,Do I require a physical copy of the e-Admit card for the Mock Test?,Yes. Candidates should keep a printed copy of the e-Admit card and original Aadhar card/ any valid Government Id Proof for appearing for Mock Test as well as Actual Test. For more information please visit the following link https://nucat.nitte.edu.in/
Can I use the calculator?,Is it possible for me to use the calculator?,Can I utilize the calculator during the Test?,Candidates are not permitted to use a physical calculator. Virtual calculator will be provided on the Test platform (nucat.codetantra.com). For more information please visit the following link https://nucat.nitte.edu.in/
How do I sort any issues occurring during NUCAT Test?,How can I resolve any issues that occur during the NUCAT test?,How do I fix problems during the NUCAT Test?,You can call your proctor or communicate through the screen. For more information please visit the following link https://nucat.nitte.edu.in/
What if my laptop or mobile goes off due to low charge during the Test?,What if my laptop or phone stops working because it's not charging properly during the test?,What happens if my laptop or mobile device shuts down due to low battery during the Test?,"There is nothing much that can be done in this regard. Hence, please ensure that your Laptop and Mobile / Tablet is fully charged before taking the Test. For more information please visit the following link https://nucat.nitte.edu.in/"
How do I get my Mock Test result?,How can I receive my mock test results?,How can I obtain my Mock Test result?,Mock Test is not evaluated. It is conducted to help the Test taker familiarise himself / herself with the Test procedures. For more information please visit the following link https://nucat.nitte.edu.in/
What are the college timings?,What are the college's hours?,What time does the college open?,From 9:00 AM to 4:30 PM. For more information please visit the following link https://nucat.nitte.edu.in/
What is the average class size at NMAMIT?,What is the average number of students in each class at NMAMIT?,Is there a typical class size at NMAMIT?,Sixty (60). For more information please visit the following link https://nucat.nitte.edu.in/
What is the minimum attendance required in NMAMIT?,What is the NMAMIT minimal attendance requirement?,Is there a minimum attendance requirement for NMAMIT?,Students should have 85% attendance in each semester to be eligible to write the semester examinations. For more information please visit the following link https://nucat.nitte.edu.in/
Can I know more about the hostel facilities in the campus?,Can you tell me more about the hostel facilities on campus?,Can I get more information about the hostel facilities in the campus?,"Hostel facilities include separate blocks for first-year students, TV room, recreation room, indoor stadium/gymnasium, cricket, hockey, football ground, water coolers & RO purifiers, scheduled hot water supply for bath, generator with 500 KVA & 160KVA, laundry, veg & non-veg, North & South Indian mess, celebration of various festivals, academic guidance in the hostel after working hours of college, ambulance/subsidized healthcare. For more information please visit the following link https://nucat.nitte.edu.in/"
Is it compulsory to stay in hostel?,Is staying in the hostel compulsory?,Is it mandatory to stay at the hostel?,"No. However, staying in the campus enables students to make the best use of their time and facilities available. Campus life helps students prepare for their professional career. For more information please visit the following link https://nucat.nitte.edu.in/"
Will I get hostel accommodation at the time of admission?,Will I get a hostel room when I go to college?,"At the time of admission, will I receive hostel accommodations?",Yes. Hostel accommodation can be booked at the time of admission. For more information please visit the following link https://nucat.nitte.edu.in/
Are we required to pay the hostel fee along with the college fee?,Is the hostel fee part of the college fee?,Do we need to pay the hostel fee in addition to the college fee?,"If hostel accommodation is required, hostel fee will have to be paid at the time of admission. For more information please visit the following link https://nucat.nitte.edu.in/"
Can I know the Hostel Fee structure?,May I inquire about the Hostel Fee structure?,Can I find out the Hostel Fee structure?,The hostel fee structure is available on the website www.nitte.edu.in under Program fee. For more information please visit the following link https://nucat.nitte.edu.in/
What are the options available for food in the campus?,What are the available options for dining on the campus?,What food options are available on campus?,"Hygienic North Indian and South Indian food is served in the hostels. Besides this, there are 2 canteens, 3 cafeterias as well as Fast Food joints on campus which are featured in Restaurant Guru. For more information please visit the following link https://nucat.nitte.edu.in/"
Are bus facilities available for day scholars?,Are there buses for day scholars?,Are transportation services provided for day students?,"Yes. Bus facilities are available at subsidized rates. The College has a fleet of buses for students and staff from Karkala, Mangaluru, Udupi, Hebri, Karkala town, etc. For more information please visit the following link https://nucat.nitte.edu.in/"
Will there be any extra charges for the bus facilities?,Are there any additional fees associated with bus facilities?,Are there any additional charges for bus services?,Yes. Nominal charges are levied as bus fees. For more information please visit the following link https://nucat.nitte.edu.in/
How can I pay my college and hostel fees?,How can I pay for college or hostel fees?,How can I settle my college and hostel fees?,Fees can be paid online through the NMAMIT website (www.nitte.edu.in). For more information please visit the following link https://nucat.nitte.edu.in/
Can I pay the fees in installments?,can I make the payment in installments?,Can I pay the fees over time?,Yes. Fees can be paid in installments. For more information please visit the following link https://nucat.nitte.edu.in/
Is there any fine for late payment of fees?,Is there a penalty for paying fees late?,Is there a penalty for late fee payment?,Yes. For more information please visit the following link https://nucat.nitte.edu.in/
Can I know about the placement facilities at NMAMIT?,Do you have any placement opportunities at NMAMIT?,Can I learn about the placement opportunities at NMAMIT?,NMAMIT has an excellent placement record with many students being placed in reputed companies every year. For more information please visit the following link https://nucat.nitte.edu.in/
What are the companies that visit NMAMIT for placements?,Which companies visit NMAMIT for placement?,What are the companies that come to NMAMIT for placements?,"Companies like Infosys, Wipro, TCS, Tech Mahindra, Capgemini, Cerner, ITC Infotech, HP, SAP Labs, Siemens, etc., visit NMAMIT for placements. For more information please visit the following link https://nucat.nitte.edu.in/"
Is there any entrepreneurship cell at NMAMIT?,Does NMAMIT have an entrepreneurship cell?,Does NMAMIT have a cell dedicated to entrepreneurship?,Yes. NMAMIT has an Entrepreneurship Development Cell (EDC) which encourages students to develop entrepreneurial skills and start their ventures. For more information please visit the following link https://nucat.nitte.edu.in/
Are there any clubs or student societies on campus?,Are there any student organizations or clubs on campus.,What clubs or student societies are there on campus?,"Yes. There are various clubs and student societies on campus including technical, cultural, and sports clubs. For more information please visit the following link https://nucat.nitte.edu.in/"
How can I get in touch with the college administration for further information?,How can I reach the college administration for further information?,What's the best way to reach out to the college administration for more information?,"You can contact the college administration through the following means: Phone: +91 8258254801, Email: info@nitte.edu.in. For more information please visit the following link https://nucat.nitte.edu.in/"
