question,para_question1,para_question2,answer
What subjects does Dr. Krishnanand Shet handle?,Which topics or subjects does Dr. Krishnanand Shet work on or teach?,What courses does Dr. Krishnanand Shet teach?,"Dr. Krishnanand Shet teaches subjects such as Space Technology and Applications, Electronic Devices, Wireless Communication, Antenna and Microwave Systems, Analog Communication, Optical Fiber Communication, Computer Communication and Networking, Antennas and Wave Propagation, Programming in C++, Analog Electronics Circuits, Basic Electronics, Satellite Communication, Real-Time Operating Systems, Robotics, Global System Mobile Communication, Optical Communication and Networking."
What are Dr. Subramanya Bhat's educational qualifications?,What are Dr. Subramanya Bhat's educational background and degrees?,What is Dr. Subramanya Bhat's academic background?,"Dr. Subramanya Bhat holds a Ph.D. in Based Implementation of Buck-Boost Converter System in Faculty of Electrical & Electronics Engineering, an M.Tech in Industrial Electronics from S.J.C.E, Mysore, and a B.E. in Electrical & Electronics Engineering from M.I.T Manipal."
What is Dr. Subramanya Bhat's past experience?,What kind of work experience does Dr. Subramanya Bhat have?,What has been Dr. Subramanya Bhat's professional experience?,"Dr. Subramanya Bhat has served as an Associate professor and HOD at Canara Engineering College, Mangalore, and has previously been an Assistant professor at various institutions including Canara Engineering College, SDMCET Dharwad, SJCE Mysore, and KVGCE Sullia. He also worked as an Engineer in Birla Group."
What subjects does Dr. Subramanya Bhat handle?,Which topics or subjects does Dr. Subramanya Bhat work on or teach?,What courses does Dr. Subramanya Bhat teach?,"Dr. Subramanya Bhat teaches subjects such as Linear Algebra for Signal processing, Machine Learning & its Applications, Signals & Systems, Digital Signal Processing, Analog Communication, Electromagnetic Theory, Analog Electronics, Antennas, Electronic Instrumentation, Network Analysis, Control Systems, Multimedia Communication, Power Electronics, Digital Signal Compression, Advanced DSP."
What are Dr. Shankar B B's educational qualifications?,What are Dr. Shankar B B's educational background and degrees?,What is Dr. Shankar B B's academic background?,"Dr. Shankar B B holds a Ph.D. in Electronics Engineering, an M.Tech in VLSI Design and Embedded Systems, and a B.E in Biomedical Engineering."
What is Dr. Shankar B B's past experience?,What kind of work experience does Dr. Shankar B B have?,What has been Dr. Shankar B B's professional experience?,Dr. Shankar B B has served in various academic positions including Associate Professor and Assistant Professor at different institutions.
What are Dr. Shankar B B's departmental responsibilities?,What are Dr. Shankar B B's roles and responsibilities within his department?,What are Dr. Shankar B B's roles within the department?,"Dr. Shankar B B is involved in various departmental activities such as course coordination, mentoring, and student coordination."
What subjects does Dr. Shankar B B handle?,Which topics or subjects does Dr. Shankar B B work on or teach?,What courses does Dr. Shankar B B teach?,"Dr. Shankar B B teaches a wide range of subjects related to electronics, signal processing, and biomedical engineering."
What are Dr. Vidya Kudva's educational qualifications?,What are Dr. Vidya Kudva's educational background and degrees?,What is Dr. Vidya Kudva's academic background?,"Dr. Vidya Kudva holds a Ph.D. in Machine Learning Approaches for Acetic Acid test-based Uterine Cervix image analysis, an M.Tech in Digital Electronics and Communications, and a B.E. in Electronics and Communications Engineering."
What is Dr. Vidya Kudva's past experience?,What kind of work experience does Dr. Vidya Kudva have?,What has been Dr. Vidya Kudva's professional experience?,"Dr. Vidya Kudva has worked as Associate Professor, Assistant Professor, and Lecturer at NMAM Institute of Technology."
What are Dr. Vidya Kudva's departmental responsibilities?,What are Dr. Vidya Kudva's roles and responsibilities within her department?,What are Dr. Vidya Kudva's roles within the department?,"Dr. Vidya Kudva is involved in various departmental roles such as time table coordination, NAAC coordination, and module coordination."
What subjects does Dr. Vidya Kudva handle?,Which topics or subjects does Dr. Vidya Kudva work on or teach?,What courses does Dr. Vidya Kudva teach?,Dr. Vidya Kudva teaches subjects ranging from basic electronics to advanced communication and pattern recognition.
What are Dr. Durga Prasad's educational qualifications?,What are Dr. Durga Prasad's educational background and degrees?,What is Dr. Durga Prasad's academic background?,"Dr. Durga Prasad holds a Ph.D. in Wireless Body Sensor Networks, an M.E. in Power Electronics, and a B.E. in Electronics."
What is Dr. Durga Prasad's past experience?,What kind of work experience does Dr. Durga Prasad have?,What has been Dr. Durga Prasad's professional experience?,"Dr. Durga Prasad has served in various academic positions including Associate Professor, Assistant Professor, and Lecturer."
What are Dr. Durga Prasad's departmental responsibilities?,What are Dr. Durga Prasad's roles and responsibilities within his department?,What are Dr. Durga Prasad's roles within the department?,"Dr. Durga Prasad holds positions as Placement Coordinator, Alumni Coordinator, and Academic Auditor."
What subjects does Dr. Durga Prasad handle?,Which topics or subjects does Dr. Durga Prasad work on or teach?,What courses does Dr. Durga Prasad teach?,"Dr. Durga Prasad teaches subjects such as Antenna & Microwave Systems, Adhoc & Sensor Networks, RF Circuit Design, Antenna Theory and Design, RF and Microwave Circuit Design."
What are Dr. Roopa B Hegde's educational qualifications?,What are Dr. Roopa B Hegde's educational background and degrees?,What is Dr. Roopa B Hegde's academic background?,"Dr. Roopa B Hegde holds a Ph.D. in Medical Image Processing, an M.Tech. in Digital Electronics & Communication, and a B.E. in Telecommunication Engineering."
What is Dr. Roopa B Hegde's past experience?,What kind of work experience does Dr. Roopa B Hegde have?,What has been Dr. Roopa B Hegde's professional experience?,"Dr. Roopa B Hegde has worked as Associate Professor, Assistant Professor, and Lecturer at NMAM Institute of Technology."
What are Dr. Roopa B Hegde's departmental responsibilities?,What are Dr. Roopa B Hegde's roles and responsibilities within her department?,What are Dr. Roopa B Hegde's roles within the department?,"Dr. Roopa B Hegde holds roles such as Research Coordinator, NAAC Criteria-3 Coordinator, and PG Coordinator (for Autonomous Batch)."
What subjects does Dr. Roopa B Hegde handle?,Which topics or subjects does Dr. Roopa B Hegde work on or teach?,What courses does Dr. Roopa B Hegde teach?,"Dr. Roopa B Hegde teaches subjects including Consumer Electronics, Fundamentals of Image Processing, Applied Digital Logic Design, and Machine Learning."
What are Dr. Sukesh Rao M's educational qualifications?,What are Dr. Sukesh Rao M's educational background and degrees?,What is Dr. Sukesh Rao M's academic background?,"Dr. Sukesh Rao M holds a Ph.D. in Biomedical Signal Processing, an M.Tech in Digital Electronics and Communication, and a B.E. in Electronics and Communication Engineering."
What is Dr. Sukesh Rao M's past experience?,What kind of work experience does Dr. Sukesh Rao M have?,What has been Dr. Sukesh Rao M's professional experience?,"Dr. Sukesh Rao M has served as Associate Professor, Assistant Professor, Senior Lecturer, and Lecturer at NMAM Institute of Technology."
What are Dr. Sukesh Rao M's departmental responsibilities?,What are Dr. Sukesh Rao M's roles and responsibilities within his department?,What are Dr. Sukesh Rao M's roles within the department?,"Dr. Sukesh Rao M has worked as a student association coordinator, Mid Semester Exam coordinator, and Mentor for students. He is also involved in coordinating electronic hobby clubs."
What subjects does Dr. Sukesh Rao M handle?,Which topics or subjects does Dr. Sukesh Rao M work on or teach?,What courses does Dr. Sukesh Rao M teach?,"Dr. Sukesh Rao M teaches subjects including System Design Using Microprocessor and Microcontroller, Electronic Circuits, Basic Electronics, Electronic Measurement and Instrumentation, and Advanced Signal Processing."
What are Dr. Mamatha Girish's educational qualifications?,What are Dr. Mamatha Girish's educational background and degrees?,What is Dr. Mamatha Girish's academic background?,"Dr. Mamatha Girish holds a Ph.D. in Electrical and Electronics Engineering Sciences, an M.E. in Electronics & Communication, and a B.E. in Telecommunication Engineering."
What is Dr. Mamatha Girish's past experience?,What kind of work experience does Dr. Mamatha Girish have?,What has been Dr. Mamatha Girish's professional experience?,Dr. Mamatha Girish has served as Associate Professor in various institutes including NMAM Institute of Technology and St. Joseph Engineering College.
What subjects does Dr. Mamatha Girish handle?,Which topics or subjects does Dr. Mamatha Girish work on or teach?,What courses does Dr. Mamatha Girish teach?,"Dr. Mamatha Girish teaches a wide range of subjects including Controls Systems, Signals & System, Verilog Hardware Description Language, Digital Signal Processing, Multimedia Communication, Microwave & Radar, and more."
What are Dr. Shrividya G's educational qualifications?,What are Dr. Shrividya G's educational background and degrees?,What is Dr. Shrividya G's academic background?,"Dr. Shrividya G holds a Ph.D., an M.Tech. in Digital Electronics & Communication Systems, and a B.E. in Electronics & Communication Engineering."
What is Dr. Shrividya G's past experience?,What kind of work experience does Dr. Shrividya G have?,What has been Dr. Shrividya G's professional experience?,"Dr. Shrividya G has held positions as Associate Professor, Assistant Professor, Senior Lecturer, and Lecturer at NMAM Institute of Technology."
What are Dr. Shrividya G's departmental responsibilities?,What are Dr. Shrividya G's roles and responsibilities within her department?,What are Dr. Shrividya G's roles within the department?,"Dr. Shrividya G is engaged in various departmental responsibilities including BOE member, BOS member, ISO Internal Auditor, Class Committee Member, Lab Incharge, NBA coordinator, Class advisor, and Peer learning coordinator."
What subjects does Dr. Shrividya G handle?,Which topics or subjects does Dr. Shrividya G work on or teach?,What courses does Dr. Shrividya G teach?,"Dr. Shrividya G teaches subjects such as Basic Electronics, Analog Communication, Digital Communication, Control System, Microwave devices and Communication, Advanced Digital Communication, Advanced Signal Processing, and Probability and Random Processes."
What are Dr. Padmavathi K's educational qualifications?,What are Dr. Padmavathi K's educational background and degrees?,What is Dr. Padmavathi K's academic background?,"Dr. Padmavathi K holds a Ph.D. in Medical Image Processing, an M.Tech in Digital Electronics & Communication, and a B.E. in Electronics & Communication Engineering."
What is Dr. Padmavathi K's past experience?,What kind of work experience does Dr. Padmavathi K have?,What has been Dr. Padmavathi K's professional experience?,"Dr. Padmavathi K has served as Lecturer, Senior Lecturer, and Assistant/Associate Professor at NMAM Institute of Technology, Nitte."
What are Dr. Padmavathi K's departmental responsibilities?,What are Dr. Padmavathi K's roles and responsibilities within her department?,What are Dr. Padmavathi K's roles within the department?,"Dr. Padmavathi K is a Coordinator for various labs, involved in Student Mentoring, UG Coordinator (ECE, VT, ACT), and more."
What subjects does Dr. Padmavathi K handle?,Which topics or subjects does Dr. Padmavathi K work on or teach?,What courses does Dr. Padmavathi K teach?,"Dr. Padmavathi K teaches subjects including Basic Electronics, Analog Electronic Circuits, Linear Integrated Circuits and Applications, and more."
What are Dr. Sushma P S's educational qualifications?,What are Dr. Sushma P S's educational background and degrees?,What educational background does Dr. Sushma P S possess?,"Dr. Sushma P S holds a Ph.D. in Low Power Analog VLSI, an M.Tech in Microelectronics, and a B.E. in Instrumentation & Electronics."
What is Dr. Sushma P S's past experience?,What kind of work experience does Dr. Sushma P S have?,What professional experience has Dr. Sushma P S accumulated?,"Dr. Sushma P S has served as Assistant/Associate Professor at NMAM Institute of Technology, Nitte, and has prior industry experience."
What are Dr. Sushma P S's departmental responsibilities?,What are Dr. Sushma P S's roles and responsibilities within her department?,What are Dr. Sushma P S's duties within their department?,"Dr. Sushma P S is a Team Leader for Special Interest Group (VLSI), Module Coordinator, NAAC Coordinator, and more."
What subjects does Dr. Sushma P S handle?,Which topics or subjects does Dr. Sushma P S work on or teach?,What subjects does Dr. Sushma P S teach or specialize in?,"Dr. Sushma P S teaches subjects including VLSI Circuits, Analog Electronics, Digital System Design, and more."
What are Mr. Mahaveera K's educational qualifications?,What are Mr. Mahaveera K's educational background and degrees?,What educational background does Mr. Mahaveera K possess?,"Mr. Mahaveera K is pursuing a Ph.D. in Mixed Signal VLSI Design, an M.Tech in Microelectronics and VLSI Design, and a B.E. in Electronics and Communication Engineering."
What is Mr. Mahaveera K's past experience?,What kind of work experience does Mr. Mahaveera K have?,What professional experience has Mr. Mahaveera K accumulated?,"Mr. Mahaveera K has served as Assistant/Associate Professor at NMAM Institute of Technology, Nitte."
What are Mr. Mahaveera K's departmental responsibilities?,What are Mr. Mahaveera K's roles and responsibilities within his department?,What are Mr. Mahaveera K's duties within their department?,"Mr. Mahaveera K is a PG Coordinator, Class Advisor, BOE & BOS Member, UG Class Committee Member, and more."
What subjects does Mr. Mahaveera K handle?,Which topics or subjects does Mr. Mahaveera K work on or teach?,What subjects does Mr. Mahaveera K teach or specialize in?,"Mr. Mahaveera K teaches subjects including VLSI Circuits, Digital System Design, Analog Electronics, and more."
What are Ms. Sunitha Lasrado's educational qualifications?,What are Ms. Sunitha Lasrado's educational background and degrees?,What educational background does Ms. Sunitha Lasrado possess?,"Ms. Sunitha Lasrado pursued a Ph.D. She obtained her M.Tech in Microelectronics and Control Systems from VTU, Belagavi in 2006 and completed her B.E. in Electronics & Communication from STJIT, Davangere in 1999."
What was Ms. Sunitha Lasrado's highest position at NMAM Institute of Technology?,What was Ms. Sunitha Lasrado's highest position or role at NMAM Institute of Technology?,What was the highest position Ms. Sunitha Lasrado held at NMAM Institute of Technology?,"She served as an Assistant Professor GD-III at NMAM Institute of Technology from October 1, 2012."
What are some of Ms. Sunitha Lasrado's departmental responsibilities?,What are some of Ms. Sunitha Lasrado's roles and responsibilities within her department?,What were some of Ms. Sunitha Lasrado's duties within their department?,"Her departmental responsibilities include Event Management coordinator, Module Coordinator, Embedded design Club, Remedial classes Coordinator, BOS member for PG, and BOE member for UG."
What are some of the subjects Ms. Sunitha Lasrado has handled?,Which topics or subjects has Ms. Sunitha Lasrado worked on or taught?,What subjects did Ms. Sunitha Lasrado teach or specialize in?,"Ms. Sunitha Lasrado has handled subjects including Microprocessor 8085, Linear Integrated Circuits, Computer Architecture, Computer Organization, Computer operating Systems, Microprocessor 8086, Microcontroller 8051, Mobile communication, Embedded System design, System design using Microprocessor and Microcontrollers, Digital system design using VHDL, Digital system design using Verilog, Mobile Communication, Modelling Of digital systems using VHDL, Advanced Embedded Systems, and Embedded system Design."
What are Dr. Sathesh Rao's educational qualifications?,What are Dr. Sathesh Rao's educational background and degrees?,What educational background does Dr. Sathesh Rao possess?,Dr. Sathesh Rao holds a Ph.D. He obtained his M.Tech in VLSI Design from NITK Surathkal in 2008 and completed his B.E. in Electronics and Communication Engineering from NMAMIT Nitte in 2002.
What was Dr. Sathesh Rao's highest position at NMAM Institute of Technology?,What was Dr. Sathesh Rao's highest role or position at NMAM Institute of Technology?,What was the highest position Dr. Sathesh Rao held at NMAM Institute of Technology?,"He served as an Assistant Professor GD-III in NMAM Institute of Technology, Nitte from October 2012."
What are some of Dr. Sathesh Rao's departmental responsibilities?, What are Dr. Sathesh Rao's roles and responsibilities within his department?,What were some of Dr. Sathesh Rao's duties within their department?,"His departmental responsibilities include being the Power Electronics Lab Incharge, mentoring students, and serving as a course coordinator for the UG course Signals & Systems."
