question,para_question1,para_question2,answer
What are Mr. MANJUNATHA A S's educational qualifications and past experience?,What are the educational qualifications of MANJUNATHA A S?,What are the past experiences and educational qualifications of MANJUNATHA A S?,"Mr. MANJUNATHA A S is pursuing a Ph.D. He has an M.Tech in Computer Science and Engineering from NMAMIT, Nitte in 2012, a B.E. in Information Science and Engineering from VCET, Puttur in 2006, and a Diploma in Computer Science and Engineering from VPT, Puttur in 2003 and he has worked as an Assistant Professor Gd.II at NMAMIT, Nitte in August 2021, as an Assistant Professor (Sr) at SMVITM, Bantakal from October 2020 to August 2021, as a Senior Assistant Professor at MITE, Moodabidri from July 2009 to September 2020, and as a Software Engineer at Trianz Consulting Pvt Ltd, Bengaluru, from October 2006 to July 2009."
What are Mr. SANDEEP KUMAR S's educational qualifications and past experience?,What are the educational qualifications of SANDEEP KUMAR S?,What are the past experiences and educational qualifications of SANDEEP KUMAR S?,"Mr. SANDEEP KUMAR S has a B.E in Computer Science and Engineering from SSEC (VTU) in 2011, and an M.Tech in Computer Science and Engineering from Canara Engineering College (VTU) in 2013. He is currently pursuing a Ph.D. and he has worked as a Senior Assistant Professor at M.I.T.E Moodabidri from 15/07/2013 to 30/8/2022."
What are Mr. SHRINIVASA's educational qualifications and past experience?,What are the educational qualifications of SHRINIVASA?,What are the past experiences and educational qualifications of SHRINIVASA?,"Mr. SHRINIVASA is pursuing a Ph.D. He has an M.Tech in Computer Science and Engineering from NMAMIT, Nitte in 2012, and a B.E. in Computer Science and Engineering from HREC, Nidasoshi in 2002 and he has worked as an Assistant Professor Gd.-III at NMAMIT, Nitte from 17th August 2023 onwards, as an Assistant Professor (Selection Grade) at SMVITM, Bantakal from February 2023 to August 2023, as an Assistant Professor (Senior) at SMVITM, Bantakal from July 2013 to January 2023, as an Assistant Professor at MKIT, Kundapura from April 2007 to June 2013, as a Junior Programmer at Shahi Exports Pvt. Ltd., Bangalore from July 2005 to March 2007, and as a Trainer at Aptech Computer Education in Belagavi from August 2003 to May 2005."
What are Ms. MAMATHA K M's educational qualifications and past experience?,What are the educational qualifications of MAMATHA K M?,What are the past experiences and educational qualifications of MAMATHA K M?,"Ms. MAMATHA K M is currently pursuing a Ph.D. at JNNCE Research Centre, Shimoga, affiliated to Visvesvaraya Technological University (VTU)Belgaum. She has an M.E from Atria Institute of Technology, Bangalore, and a B.E from GM Institute of Technology, Davangere, both affiliated to Visvesvaraya Technological University (VTU)Belgaum."
What is the duration of the Computer & Communication Engineering program?,what is the course duration of CCE?,What is the duration of the CCE program?,"The program is a Bachelor of Technology degree, which typically takes four years to complete. For further details visit https://nmamit.nitte.edu.in/department-CCN.php"
What is the email of Ms. MAMATHA K M?,May I know the email address of Ms. MAMATHA K M?,What's Ms. MAMATHA K M' email address?,The email of Ms. MAMATHA  K M is mamatha.km@nitte.edu.in
What is the focus in Computer & Communication Engineering program?,What is the main goal of the Computer and Communication Engineering program?,What is the main emphasis of the Computer & Communication Engineering program?,The main focus of the program is on Computer Networks (Wired and Wireless) and Telecommunications technologies. For further details visit https://nmamit.nitte.edu.in/department-CCN.php
What is the importance of simulation skills in the Computer & Communication Engineering program?,How important is simulation in the Computer & Communication Engineering program?,What role do simulation skills play in the Computer & Communication Engineering program?,Simulation skills are essential in the Computer & Communication Engineering program as they enable students to design and test systems before implementing them in real-world applications. For further details visit https://nmamit.nitte.edu.in/department-CCN.php
What is the objective of the Computer & Communication Engineering program?,What is the goal of the Computer & Communication Engineering course?,What is the goal of the degree in computer and communication engineering?,The program aims to develop practical skills and in-depth knowledge required by the present industrial scenario. For further details visit https://nmamit.nitte.edu.in/department-CCN.php
what is the syllabus of Computer & Communication Engineering department for the batch 2022-2026?,"For the batch 2022-2026, what is the syllabus for the Computer and Communication Engineering department?",What are the course details for the Computer & Communication Engineering department for the 2022-2026 batch?,"the syllabus of Computer & Communication Engineering department for the batch 2022-2026 is avaliable at the college website, For more details please visit https://nmamit.nitte.edu.in/syllabus/ndu/2022-26/B.Tech._CC_2022-26.pdf"
what is the syllabus of Computer & Communication Engineering department for the batch 2023-2027?,"For the batch 2023-2027, what is the syllabus for the Computer and Communication Engineering department?",What are the course details for the Computer & Communication Engineering department for the 2023-2027 batch?,"the syllabus of Computer & Communication Engineering department for the batch 2022-2026 is avaliable at the college website, For more details please visit https://nmamit.nitte.edu.in/syllabus/ndu/2023-27/B.Tech._CC_2022-26.pdf"
what is the syllabus of Computer & Communication Engineering department for VTU?,For the batch VTU what is the syllabus for the Computer and Communication Engineering department?,What are the course details for the Computer & Communication Engineering department at VTU?,"the syllabus of Computer & Communication Engineering department for the batch 2022-2026 is avaliable at the college website, For more details please visit https://nmamit.nitte.edu.in/syllabus/ccm/V-VI-CCE.pdf"
What skills can students expect to develop through the Computer & Communication Engineering program?,What skills can students expect to learn through the Computer & Communication Engineering program?,What abilities will students acquire through the Computer & Communication Engineering program?,"Students can expect to develop practical skills, problem-solving strategies, simulation skills, and mathematical foundations. For further details visit https://nmamit.nitte.edu.in/department-CCN.php"
What subjects has Dr. ASHISH SINGH handled and what is his email address?,Which subjects has ASHISH SINGH Êhandled and his email address?,which are the subjects that ASHISH SINGH teaches and give me his email id?,"Dr. ASHISH SINGH has handled subjects such as Analog Communication, Optical communication, Radar System, Bio-medical Instrumentation, Transmission Lines, Microwave Devices and Communication, Antenna and Wave Propagation, Nanotechnology, RF and circuit Device, Sensors and Actuators.The email of Dr. ASHISH SINGH is ashishsingh@nitte.edu.in"
What subjects has Dr. CHITHRA K handled and what is her email address?,Which subjects has CHITHRA K  Êhandled and her email address?,which are the subjects that CHITHRA K teaches and give me his email id?,"Dr. CHITHRA K has handled subjects such as Programming in C language, Cryptography and Cyber security, Internetworking with TCP/IP, Computer Graphics, Cyber security, Data communication, Computer networks, Software architecture, Software Engineering, Distributed computing, Data communication and networking, Mobile computing, Data base management systems, and System software. The email of Dr. CHITHRA K is chithra.k@nitte.edu.in"
What subjects has Dr. RADHAKRISHNA handled and what is his email address?,Which subjects has RADHAKRISHNA Êhandled and his email address?,which are the subjects that RADHAKRISHNA teaches and give me his email id?,"Dr. RADHAKRISHNA has handled subjects such as Cryptography and Network, Cyber Security and Forensics, Data Communications, Computer Networks, Formal Languages and Automata Theory, Database Management Systems, Computer Organization and Architecture, Multicore Architecture and Programming, Programming Languages (C, C++). The email of Dr. RADHAKRISHNA is radhakrishna@nitte.edu.in"
What subjects has Mr. CHIDANANDA T handled and what is his email?,Which subjects has CHIDANANDA TÊhandled and his email address?,which are the subjects that CHIDANANDA Tteaches and give me his email id?,"Mr. CHIDANANDA T has handled subjects such as Object-Oriented Concepts using C++ and Java, Fundamentals of C Programming Language, Cryptography and Network Security, Unix Shell Programming, Software Engineering, Web Design Techniques, Digital Systems and Computer Organisation, and Design and Analysis of Algorithms. The email of Mr. CHIDANANDA T is chidananda.t@nitte.edu.in"
What subjects has Mr. KRISHNA PRASAD D S handled and what is his email address?,Which subjects has KRISHNA PRASAD D S  Êhandled and his email address?,which are the subjects that KRISHNA PRASAD D S  teaches and give me his email id?,"Mr. KRISHNA PRASAD D S has handled subjects such as Data Communication, Computer Networks, Mobile Application Development, .Net Framework for Application Development, C Programming for Problem Solving, and Computer Organization. The email of Mr. KRISHNA PRASAD D S is krishnaprasad.cc@nitte.edu.in"
What subjects has Mr. SANDEEP KUMAR S handled and what is his email address?,Which subjects has SANDEEP KUMAR S Êhandled and his email address?,which are the subjects that SANDEEP KUMAR S teaches and give me his email id?,"Mr. SANDEEP KUMAR S has handled subjects such as Discrete Mathematical Structure, Operation Research, Object Oriented Modelling and Design, Software Testing, Software Engineering, Unix and Shell programming, Computer Networks, Data Communication, Natural Language Processing, Operating System, User Interface Development, Web Technology and its Application, Introduction to Data Structure, and Python. The email of Mr. SANDEEP KUMAR S is sandeep.kumar@nitte.edu.in"
What subjects has Mr. SHRINIVASA handled and what is his email address?,Which subjects has SHRINIVASA Êhandled and his email address?,which are the subjects that SHRINIVASA teaches and give me his email id?,"Mr. SHRINIVASA has handled subjects such as Design and Analysis of Algorithms, Database Systems, Big Data and Analytics, Introduction to Cloud Computing and its Applications, Object Oriented Concepts, Automata Theory and Computation, Advanced Algorithms, Data Structures with C/C++, Unix Shell Programming, Unix System Programming, C Programming, Introduction to Python Programming, and System software and Compiler Design. The email of Mr. SHRINIVASA is shrinivasa.naik@nitte.edu.in"
