question,para_question1,para_question2,answer
What are Dr. Shrinivasa Rao B.R.'s educational qualifications?, Could you provide me with the educational background of Dr. Shrinivasa Rao B.R.?,What are the academic credentials of Dr. Shrinivasa Rao B.R.?,"Dr. Shrinivasa Rao B.R. holds a Ph.D. in Dual Fuel Engine from NITK, Surathkal in 2005, an M.Tech in Heat Power from KREC, Suratkal in 1989, and a B.E. in Mechanical Engineering from Malnad College of Engineering, Hassan in 1984."
What is Dr. Shrinivasa Rao B.R.'s past experience?, What has been Dr. Shrinivasa Rao B.R.'s career journey so far?,What is the professional background of Dr. Shrinivasa Rao B.R.?,"Dr. Shrinivasa Rao B.R. served as Senior Lecturer, Assistant Professor, Associate Professor, Professor, Controller of Examinations, and Vice Principal at NMAM Institute of Technology from 1989 to 2012."
What subjects does Dr. Shrinivasa Rao B.R. handle?,In which areas does Dr. Shrinivasa Rao B.R. specialize?,Which subjects does Dr. Shrinivasa Rao B.R. teach or specialize in?,"Dr. Shrinivasa Rao B.R. teaches subjects such as Heat Transfer, Kinematics of Machines, Dynamics of Machines, Conventional Energy Conversion Systems, Theory of SI and CI Engines, Wind Energy Systems, and Automotive Engineering."
What are Dr. Subrahmanya Bhat K.'s educational qualifications?, Could you share Dr. Subrahmanya Bhat K.'s academic credentials?,What are the academic credentials of Dr. Subrahmanya Bhat K.?,"Dr. Subrahmanya Bhat K. earned a Ph.D. from Visvesvaraya Technological University, Belagavi in 2009, an M.E in Production Management from Karnataka University, Dharwad in 1994, and a B.E. in Industrial Production from University of Mysore, Mysore in 1987."
What is Dr. Subrahmanya Bhat K.'s past experience?,What has Dr. Subrahmanya Bhat K. been involved in previously?,What is the professional background of Dr. Subrahmanya Bhat K.?,"Dr. Subrahmanya Bhat K. has served as Deputy Controller of Examination at Nitte off Campus Centre, Nitte (Deemed to be University) since June 2022. Previously, he held positions such as Dean Student Welfare, Head of the Department of Mechanical Engg., Professor, Assistant Professor, Senior Lecturer, and Lecturer at NMAM Institute of Technology, Nitte from 1989 to 2022."
What subjects does Dr. Subrahmanya Bhat K. handle?,Which fields does Dr. Subrahmanya Bhat K. focus on?,Which subjects does Dr. Subrahmanya Bhat K. teach or specialize in?,"Dr. Subrahmanya Bhat K. teaches subjects such as Total Quality Management, Statistical Quality Control, Engineering Economics, Operations Management, and Operations Research."
What are Dr. Sudesh Bekal's educational qualifications?,Could you inform me about Dr. Sudesh Bekal's academic achievements?,What are the academic credentials of Dr. Sudesh Bekal?,"Dr. Sudesh Bekal holds a Ph.D. in Alternative Fuels for Engines from NITK, Suratkal (Deemed University) in 2010, an M.Tech in Heat Power Engineering from KREC, Suratkal (presently NITK)/Mangalore in 1992, and a B.E. in Mechanical Engineering from JCE, Mysore/Mysore in 1985."
What is Dr. Sudesh Bekal's past experience?, What professional experiences does Dr. Sudesh Bekal bring to the table?,What is the professional background of Dr. Sudesh Bekal?,"Dr. Sudesh Bekal has extensive experience, including roles such as Dean, Research and Development since July 2011, Professor at NMAMIT since March 2010, Assistant Professor at NMAMIT from August 1995 to March 2010, Senior Lecturer at NMAMIT from August 1992 to July 1995, and Lecturer at NMAMIT from December 1986 to July 1992."
What subjects does Dr. Sudesh Bekal handle?,What are the areas of expertise for Dr. Sudesh Bekal?,Which subjects does Dr. Sudesh Bekal teach or specialize in?,"Dr. Sudesh Bekal teaches various subjects related to Mechanical Engineering including non-conventional energy sources, wind energy conversion systems, energy systems modeling and analysis, utilization of solar thermal energy, pollution control, and combustion engineering."
What are Dr. Srinivasa Pai P.'s educational qualifications?,Could you tell me about Dr. Srinivasa Pai P.'s academic history?,What are the academic credentials of Dr. Srinivasa Pai P.?,"Dr. Srinivasa Pai P. obtained a Ph.D. in Mechanical Engineering from University of Mysore, Mysore (1997 - 2004), an M.Tech in Maintenance Engineering from S.J. College of Engineering, Mysore, University of Mysore (1994 - 1996), and a B.E. in Industrial Production Engineering from NMAM Institute of Technology, Nitte, Mangalore University (1989 - 1993)."
What is Dr. Srinivasa Pai P.'s past experience?,What has Dr. Srinivasa Pai P. accomplished in their career?,What is the professional background of Dr. Srinivasa Pai P.?,"Dr. Srinivasa Pai P. has held various roles in academia including Head of the Department, Deputy Controller of Examinations, Post-Doctoral Research Scholar at Utah State University, USA, Professor, and Assistant Professor at NMAM Institute of Technology."
What subjects does Dr. Srinivasa Pai P. handle?,Which subjects are Dr. Srinivasa Pai P.'s areas of expertise?,Which subjects does Dr. Srinivasa Pai P. teach or specialize in?,"Dr. Srinivasa Pai P. teaches various subjects covering a wide range of Mechanical Engineering topics including maintenance, instrumentation, metal cutting, design, marketing management, operations research, machine tool design, machine learning, and more."
What are Dr. Narasimha Marakala's educational qualifications?, Could you provide details on Dr. Narasimha Marakala's educational background?,What are the academic credentials of Dr. Narasimha Marakala?,"Dr. Narasimha Marakala holds a Ph.D. in Fluid and Thermal Induced Vibration in Thin Slender Pipe from NITK, Surathkal, 2012, an M. Tech in Advanced Manufacturing Engineering from KREC, Surathkal (NITK), 1995, and a B.E. in Mechanical Engineering from KREC, Surathkal (NITK), 1990."
What subjects does Dr. Narasimha Marakala handle?, What are the subjects Dr. Narasimha Marakala is knowledgeable in?,Which subjects does Dr. Narasimha Marakala teach or specialize in?,"Dr. Narasimha Marakala teaches various subjects including Control Engineering, Fluid Power System, Automotive Engineering, Mechatronics, Computer Aided Engineering Drawing, Industrial Robotics, Metrology and Measurement, and Computer Integrated Manufacturing."
What are Dr. Mallikappa's educational qualifications?,Could you share Dr. Mallikappa's academic credentials?,What are the academic credentials of Dr. Mallikappa?,"Dr. Mallikappa obtained a Ph.D. from NITK Surathkal, India (A Deemed university), an M.Tech from UVCE Bangalore (Bangalore University), and a B.E. in Mechanical Engineering from JNNCE Shimoga (Mysore University)."
What is Dr. Mallikappa's past experience?, What has Dr. Mallikappa's career path been like?,What is the professional background of Dr. Mallikappa?,"Dr. Mallikappa has a rich experience in academia, including roles such as Lecturer, Senior Lecturer, Assistant Professor, Associate Professor, and Professor at NMAM Institute of Technology."
What subjects does Dr. Mallikappa handle?,Which subjects does Dr. Mallikappa handle?,Which subjects does Dr. Mallikappa teach or specialize in?,"Dr. Mallikappa teaches subjects like Elements of Mechanical Engineering, Engineering Graphics, Manufacturing Processes (I, II, III), Metrology and Measurements, Maintenance and Reliability Engineering, Power Plant Engineering, and Non-Destructive Testing."
What are Dr. Narasimha K. Bailkeri's educational qualifications?, Could you inform me about Dr. Narasimha K. Bailkeri's educational qualifications?,What are the academic credentials of Dr. Narasimha K. Bailkeri?,"Dr. Narasimha K. Bailkeri holds a Ph.D. in Combustion Engineering from NMAMIT, Nitte, 2014, an M. Tech in Energy Systems from VTU Belgaum, Karnataka, 2005, and a B.E. in Mechanical Engineering from Mangalore University, Karnataka, 1990."
What subjects does Dr. Narasimha K. Bailkeri handle?,What are the subjects Dr. Narasimha K. Bailkeri is proficient in?,Which subjects does Dr. Narasimha K. Bailkeri teach or specialize in?,"Dr. Narasimha K. Bailkeri teaches subjects like Engineering Graphics, Elements of Mechanical Engineering, Basic Thermodynamics, Applied Thermodynamics, Fluid Mechanics, Kinematics of Machines, Fluid Machinery, Dynamics of Machinery, Internal Combustion Engines, Heat and Mass Transfer, Non-conventional Energy Sources, Conventional Energy Conversion Systems, Thermodynamics and Combustion Engineering, Theory of SI and CI Engines/Advanced IC Engines, Energy Management, Alternative fuels for IC Engines, and Utilization of Solar Energy."
What are Dr. Gururaj Upadhyaya's educational qualifications?,Could you tell me about Dr. Gururaj Upadhyaya's academic history?,What are the academic credentials of Dr. Gururaj Upadhyaya?,"Dr. Gururaj Upadhyaya obtained a Ph.D. from Visvesvaraya Technological University in July 2017, an M. Tech in Engineering Management from Manipal Institute of Technology, and a B.E. in Mechanical Engineering from Malnad College of Engineering, Hassan."
What is Dr. Gururaj Upadhyaya's past experience?, What professional experiences does Dr. Gururaj Upadhyaya have?,What is the professional background of Dr. Gururaj Upadhyaya?,"Dr. Gururaj Upadhyaya has served as a Lecturer, Senior Lecturer, Assistant Professor, and presently as an Associate Professor in NMAM Institute of Technology, Nitte."
What subjects does Dr. Gururaj Upadhyaya handle?,Which fields does Dr. Gururaj Upadhyaya specialize in?,Which subjects does Dr. Gururaj Upadhyaya teach or specialize in?,"Dr. Gururaj Upadhyaya teaches subjects like Elements of Mechanical Engineering, Engineering Graphics/Computer Aided Engineering Graphics, Machine Drawing/Computer Aided Machine Drawing, Operations Management/Operations Management and Entrepreneurship, Total Quality Management/Statistical Quality Control, Organization Behavior, Engineering System Design, Engineering Economics, Operations Research, Product Design and Manufacture, Management and Entrepreneurship, Introduction to Aircraft Design, and Introduction to Business Analytics with Python."
What are Dr. M. Anantha Krishna Somayaji's educational qualifications?,Could you provide details on Dr. M. Anantha Krishna Somayaji's educational background?,What are the academic credentials of Dr. M. Anantha Krishna Somayaji?,"Dr. M. Anantha Krishna Somayaji holds a Ph.D. in Experimental and FE Studies of Carbon Fibre Reinforced Aluminium Based Metal Matrix Composites from VTU Belagavi, 2020, an M.Tech in Production Technology from Basaveshwara College, Bagalkot, 2009, an MBA in Advanced Marketing Management from KSOU Mysore, 2001, and a B.E. in Mechanical Engineering from Basaveshwara College, Bagalkot, 1992."
What subjects does Dr. M. Anantha Krishna Somayaji handle?,What are the subjects Dr. M. Anantha Krishna Somayaji is knowledgeable in?,Which subjects does Dr. M. Anantha Krishna Somayaji teach or specialize in?,"Dr. M. Anantha Krishna Somayaji teaches subjects such as Mechanics of Materials, Power Plant Engineering, Engineering Economics, Industrial Management and Entrepreneurship, Manufacturing Process I, II, III, Kinematics of Machines, CIM and Automation, Metrology and Measurements, Engineering Economics, Non-Traditional Machining, Foundry Technology, Project Management, Human Resource Management, Engineering Management, Elements of Mechanical Engineering, Operations Research, Quantitative Techniques in Management, and Principles of Management."
What are Dr. Udaya D's educational qualifications?, Could you share Dr. Udaya D's academic credentials?,What are the academic credentials of Dr. Udaya D?,"Dr. Udaya D holds a Ph.D. in Mechanical Engineering from VTU Belagavi, an M.Tech in Energy Systems Engineering from NMAMIT Nitte, 2009, and a B.E. in Industrial & Production Engineering from MIT Manipal, 1998."
What is Dr. Udaya D's past experience?, What has Dr. Udaya D's career path been like?,What is the professional background of Dr. Udaya D?,"Dr. Udaya D has held various academic positions at NMAMIT, Nitte, including Associate Professor, Assistant Professor Gd-III, and Assistant Professor Gd-II. Prior to this, he worked as a Senior Lecturer at AIET, Moodbidri, and as a Lecturer at MIT, Kundapura. He also has industry experience."
What subjects does Dr. Udaya D handle?,Which subjects does Dr. Udaya D handle?,Which subjects does Dr. Udaya D teach or specialize in?,"Dr. Udaya D teaches subjects such as Energy Management, Non-Destructive Testing, Power Plant Engineering, Fluid Mechanics, Fluid Machinery, Material Science & Metallurgy, Manufacturing Process, Metrology and Measurements, and Computer-aided Engineering Graphics."
What are Dr. Kumar H. S.'s educational qualifications?, Could you inform me about Dr. Kumar H. S.'s educational qualifications?,What are the academic credentials of Dr. Kumar H. S.,"Dr. Kumar H. S. holds a Ph.D. in Mechanical Engineering from Visvesvaraya Technological University, Belagavi, 2017, an M.Tech. in Production Engineering Systems Technology (PEST) from Department of Industrial Production Engineering, Kuvempu University, 2005, and a B.E. in Mechanical Engineering from Bangalore University, Siddaganga Institute of Technology, Tumkur, 2001."
What is Dr. Kumar H. S.'s past experience?,What has Dr. Kumar H. S.'s career journey been like?,What is the professional background of Dr. Kumar H. S.,"Dr. Kumar H. S. has extensive experience in academia and industry. He has served as an Associate Professor and Assistant Professor at NMAM Institute of Technology, Nitte, and as an Assistant Professor at Moodlakatte Institute of Technology, Moodlakatte. Additionally, he has worked as a Production Engineer and Maintenance Engineer in various companies."
What departmental responsibilities does Dr. Kumar H. S. have?, What are the departmental roles and responsibilities of Dr. Kumar H. S.?,What are the duties and responsibilities of Dr. Kumar H. S. in his department?,"Dr. Kumar H. S. serves as the NBA department coordinator, UG Seminar Coordinator, and IoT Department Coordinator."
What subjects does Dr. Kumar H. S. handle?,Which subjects does Dr. Kumar H. S. specialize in?,Which subjects does Dr. Kumar H. S. teach or specialize in?,"Dr. Kumar H. S. teaches subjects such as Industrial Management, Manufacturing process - II, Computer Integrated Manufacturing, Energy Engineering, CAD/CAM, Mechatronics, and CAEG."
What are Dr. Ajit M. Hebbale's educational qualifications?,Could you provide me with the educational credentials of Dr. Ajit M. Hebbale?,What are the academic credentials of Dr. Ajit M. Hebbale?,"Dr. Ajit M. Hebbale holds a Post-Doctoral Fellowship from International Advanced Research Centre for Powder Metallurgy and New Materials (ARCI)-Hyderabad, DST Lab, Govt. of India, 2019-20, a Ph.D. in Material Processing through Microwave Energy, 2018, an M.Tech in Design from SDM College of Engineering, Dharwad, 2012, and a B.E (I&PE) from Bahubali College of Engineering, Hassan, 2009."
What is Dr. Ajit M. Hebbale's past experience?,What has Dr. Ajit M. Hebbale been involved in previously?,What is the professional background of Dr. Ajit M. Hebbale?,"Dr. Ajit M. Hebbale has served as an Associate Professor and Assistant Professor at NMAM Institute of Technology, Nitte. Prior to this, he worked as a Trainee Engineer at Jinabakul Forge Pvt. Ltd, Belagavi."
What departmental responsibilities does Dr. Ajit M. Hebbale have?,What are the departmental duties of Dr. Ajit M. Hebbale?,What are the duties and responsibilities of Dr. Ajit M. Hebbale in his department?,"Dr. Ajit M. Hebbale serves as the Convener of NAAC criterion-3, Lead receiver of NIRF Data, Active Member of Dept. NBA team, Hostel warden for the NET boys hostel, Nitte, and Student Mentor for the Mechanical Department."
What subjects does Dr. Ajit M. Hebbale handle?, In which areas does Dr. Ajit M. Hebbale specialize?,Which subjects does Dr. Ajit M. Hebbale teach or specialize in?,"Dr. Ajit M. Hebbale teaches subjects such as Elements of Mechanical Engineering, Mechanics of Materials, Kinematics of Machines, Design of Machine Elements-I, Design of Machine Elements-II, Material Science & Metallurgy, Elements of YOGA, and IT Skills."
What are Dr. Vijeesh V's educational qualifications?,Could you share Dr. Vijeesh V's academic background?,What are the academic credentials of Dr. Vijeesh V?,"Dr. Vijeesh V has completed a Postdoctoral research project on Evaluation of shrinkage cavity formation during resistance spot welding of high strength automotive steels sponsored by Hyundai Motors Company. He holds a Ph.D. in Solidification Analyses and Heat Treatment of Modified and Refined Al-Si Alloys under the MHRD Institute Fellowship. Additionally, he has a Master of Technology in Process Metallurgy from the National Institute of Technology Karnataka, Surathkal, and a Bachelor of Technology in Mechanical Engineering from St. Joseph Engineering College, Mangalore."
What is Dr. Vijeesh V's past experience?,What has Dr. Vijeesh V's career encompassed?,What is the professional background of Dr. Vijeesh V?,"Dr. Vijeesh V has a diverse professional background. He has served as an Associate Director (R&D) at NITTE Off-Campus Centre, NITTE Deemed to be University, and as an Associate Professor at NMAMIT, Nitte. Previously, he worked as a Post-Doctoral Fellow at Department Advanced Materials Engineering, Dong-Eui University, Busan, South Korea, and completed his Ph.D. in Metallurgical and Materials Engineering from the National Institute of Technology Karnataka, Surathkal. He also has experience as an Assistant Engineer at PetroTech Engineers."
What departmental responsibilities does Dr. Vijeesh V have?, What are Dr. Vijeesh V's departmental roles?,What are the duties and responsibilities of Dr. Vijeesh V in his department?,Dr. Vijeesh V serves as the Faculty in-charge of NMAMIT-FRONIUS CENTRE FOR WELDING TECHNOLOGY.
What subjects does Dr. Vijeesh V handle?,Which subjects does Dr. Vijeesh V focus on?,Which subjects does Dr. Vijeesh V teach or specialize in?,"Dr. Vijeesh V teaches subjects such as Additive Manufacturing, Material science and Metallurgy, Welding Technology, Non-destructive Testing, Metallurgical Thermodynamics, Alloy design and applications, and Foundry Technology."
"What conferences, CMEs, or workshops has Dr. Vijeesh V participated in?","What events, such as conferences, CMEs, or workshops, has Dr. Vijeesh V attended?","What are the conferences, CMEs, or workshops Dr. Vijeesh V has attended?",Dr. Vijeesh V has participated in various workshops and training programs related to welding technology and additive manufacturing.
What are Dr. Grynal D'Mello's educational qualifications?,Could you inform me about Dr. Grynal D'Mello's academic achievements?,What are the academic credentials of Dr. Grynal D'Mello?,"Dr. Grynal D'Mello holds a Ph.D. in Surface Roughness Modeling and Optimization in Titanium Based Alloys, an M.Tech in Manufacturing Engineering and Technology, and a B.E. in Mechanical Engineering."
What is Dr. Grynal D'Mello's past experience?, What has Dr. Grynal D'Mello's career path been like?,What is the professional background of Dr. Grynal D'Mello?,"Dr. Grynal D'Mello has served in various capacities at NMAM Institute of Technology, Nitte, starting from Lecturer Gd. I to his current position as Associate Professor."
What are Dr. Grynal D'Mello's departmental responsibilities?, What are Dr. Grynal D'Mello's departmental responsibilities?,What are the duties and responsibilities of Dr. Grynal D'Mello in his department?,"Dr. Grynal D'Mello is in charge of various responsibilities such as the Toyota-NMAMIT Centre of Excellence, Departmental IT/ Lecture Videos Coordinator, Staff In charge for Automotive Learning Factory, and more."
What subjects has Dr. Grynal D'Mello handled?, Which subjects has Dr. Grynal D'Mello worked with?,Which subjects has Dr. Grynal D'Mello taught or specialized in?,"Dr. Grynal D'Mello has taught subjects including Industrial Robotics, Mechatronics, Non-Destructive Testing, Automotive Engineering, and more."
What are Dr. Suresh Shetty's educational qualifications?, Could you tell me about Dr. Suresh Shetty's academic history?,What are the academic credentials of Dr. Suresh Shetty?,"Dr. Suresh Shetty holds a Ph.D. in Energy System Engineering, an M.Tech in Energy System Engineering, and a B.E. in Industrial Production Engineering."
What is Dr. Suresh Shetty's current position and past experience?, What is Dr. Suresh Shetty's current role and past professional experiences?,What is Dr. Suresh Shetty's current role and professional background?,"Dr. Suresh Shetty is presently working as an Associate Professor in the Mechanical Engineering Department at NMAM Institute of Engineering, Nitte."
What departmental responsibilities does Dr. Suresh Shetty hold?, What are Dr. Suresh Shetty's departmental duties?,What are the duties and responsibilities of Dr. Suresh Shetty in his department?,"Dr. Suresh Shetty serves as a Class committee member, Weak student monitoring coordinator, and is involved in department fund creation for needy students."
What subjects has Dr. Suresh Shetty handled?, Which subjects has Dr. Suresh Shetty handled?,Which subjects has Dr. Suresh Shetty taught or specialized in?,"Dr. Suresh Shetty has taught subjects including Basic thermodynamics, Applied thermodynamics, Power plant engineering, and more."
What are the educational qualifications of Dr. Vidyasagar Shetty?, Could you provide details on Dr. Vidyasagar Shetty's educational background?,What are the academic credentials of Dr. Vidyasagar Shetty?,"Dr. Vidyasagar Shetty holds a Ph.D. in Hybrid Composites from VTU, Belagavi in 2021. They also have an M.Tech in Materials Engineering from N.I.T.K, Surathkal in 2008 and a B.E. in Industrial Engineering and Management from H.S.M.I.T, Tumkur, Karnataka in 2004."
What is Dr. Vidyasagar Shetty's past experience?, What has Dr. Vidyasagar Shetty accomplished in their career?,What is the professional background of Dr. Vidyasagar Shetty?,"Dr. Vidyasagar Shetty has worked as an Assistant Professor Gd-III at NMAM Institute of Engineering and Technology, Nitte since July 2017. Prior to that, they served as a Senior Assistant Professor at Alvas Institute of Engineering and Technology, Moodbidri from August 2013 to June 2017. Their experience also includes positions such as Assistant Professor at Shree Devi Institute of Technology, Mangalore, Lecturer at Moodlakatte Institute of Technology, Kundapura, and Engineer at Gas Turbine Research Establishment (GTRE), DRDO, Bangalore."
What are Dr. Vidyasagar Shetty's departmental responsibilities?, What are Dr. Vidyasagar Shetty's departmental responsibilities?,What are the duties and responsibilities of Dr. Vidyasagar Shetty in his department?,"Dr. Vidyasagar Shetty is a member of the monitoring cell, Hostel visiting Team, and serves as the Departmental NAAC Coordinator."
What subjects has Dr. Vidyasagar Shetty handled?, Which subjects has Dr. Vidyasagar Shetty worked with?,Which subjects has Dr. Vidyasagar Shetty taught or specialized in?,"Dr. Vidyasagar Shetty has taught subjects such as Material science and Metallurgy, Engineering Economics, Fluid Mechanics, Computer Aided Engineering Drawing, Manufacturing Process-I, Elements of Mechanical Engineering, and Energy Engineering."
What are Mr. Ravishankar Bhat S's educational qualifications?,Could you share Mr. Ravishankar Bhat S's academic credentials?,What are the academic credentials of Mr. Ravishankar Bhat S?,"Mr. Ravishankar Bhat S holds an M.Tech in Heat Power from KREC, Suratkal in 1994 and a B.E. in Mechanical Engineering from Calicut University, NSS College of Engg. in 1988."
What is Mr. Ravishankar Bhat S's past experience?, What has Mr. Ravishankar Bhat S's career journey been like?,What is the professional background of Mr. Ravishankar Bhat S?,"Mr. Ravishankar Bhat S has served as a Lecturer in NRAM Polytechnic, Nitte from 19-09-1988 to 30-12-1988, Lecturer in Manipal Institute of Technology, Manipal from 2-1-1989 to 20-02-1989, and Assistant Professor, Gd-III in NMAM Institute of Technology from 09-08-1989."
What are Mr. Ravishankar Bhat S's departmental responsibilities?,What are Mr. Ravishankar Bhat S's departmental roles?,What are the duties and responsibilities of Mr. Ravishankar Bhat S in his department?,Mr. Ravishankar Bhat S is involved in Exam Coordination.
What subjects has Mr. Ravishankar Bhat S handled?, Which subjects has Mr. Ravishankar Bhat S handled?,Which subjects has Mr. Ravishankar Bhat S taught or specialized in?,"Mr. Ravishankar Bhat S has taught subjects such as Applied thermodynamics, Fluid Machinery, Fluid mechanics, and Elements of Mechanical Engineering."
What are Dr. Ravindra's educational qualifications?, Could you inform me about Dr. Ravindra's educational qualifications?,What are the academic credentials of Dr. Ravindra?,"Dr. Ravindra holds a Ph.D. in Alternative Fuels from NITK, Surathkal, 2019, an M.Tech. in Energy System Engineering from NMAMIT, Nitte- 2009, and a B.E in Mechanical Engineering from S.J.C.E, Mysore- 1995."
What is Dr. Ravindra's past experience?,What has Dr. Ravindra's career encompassed?,What is the professional background of Dr. Ravindra?,"Dr. Ravindra has held positions such as H.O.D, Dept. of Mechanical Engg. at SDIT Mangaluru from 1-8-2006 to 20-7-2010, H.O.D, Dept. of Mechanical Engg. At MITK Kundapura from 1-8-2004 to 31-7-2006, and Lecturer in SNS polytechnic Sunkadakatte from 24-6-1996 to 31-7-2004."
What subjects has Dr. Ravindra handled?, Which subjects has Dr. Ravindra worked with?,What topics has Dr. Ravindra dealt with?,"Dr. Ravindra has taught subjects such as I. C. Engines, Wind and solar power Engineering, Power Plant Engineering, Utilization of Solar Thermal Energy, and Alternative Energy Sources."
What are the educational qualifications of Mr. P. Venkatesh Murthy?, Could you provide me with the academic background of Mr. P. Venkatesh Murthy?,What is Mr. P. Venkatesh Murthy's educational background?,"Mr. P. Venkatesh Murthy holds an M. Tech in Engineering Management from M.I.T. Manipal Institute of Technology, Nitte (2005) and a B.E in Industrial Production from M.I.T. Manipal (1985)."
What is Mr. P. Venkatesh Murthy's past experience?,What has Mr. P. Venkatesh Murthy been involved in previously?,What has been Mr. P. Venkatesh Murthy's professional journey?,Mr. P. Venkatesh Murthy worked as an Assistant Engineer from 1985-1992 and in various companies for short periods from 1992-2000.
What are Mr. P. Venkatesh Murthy's departmental responsibilities?,What are Mr. P. Venkatesh Murthy's departmental duties?,What are Mr. P. Venkatesh Murthy's roles within his department?,Mr. P. Venkatesh Murthy serves as the Association for Interaction of Mechanical Students (AIMS) coordinator.
What subjects has Mr. P. Venkatesh Murthy handled?,In which areas does Mr. P. Venkatesh Murthy specialize?,What topics has Mr. P. Venkatesh Murthy dealt with?,"Mr. P. Venkatesh Murthy has taught subjects such as Industrial management and entrepreneurship, and Marketing Management."
What are the educational qualifications of Dr. Austine Dinesh D'Souza?,Could you share Dr. Austine Dinesh D'Souza's academic credentials?,What is Dr. Austine Dinesh D'Souza's educational background?,"Dr. Austine Dinesh D'Souza holds a Ph.D from NITK, Surathkal, an M.Tech in Machine Design from NMAM Institute of Technology, Nitte in 2015, and a B.E. in Mechanical Engineering from M.S. Ramaiah Institute of Technology, Bangalore in 1989."
